Unnamed: 0,Review,Cleaned_Review,Relevance_Score
Xuất sắc 10đ,xut sc,"['xut', 'sc']",10
Bình thường,bnh thng,"['bnh', 'thng']",10
Rất tốt,rt tt,"['rt', 'tt']",10
Quá tệ,qu t,"['qu', 't']",10
Chất liệu:quá ok,cht liuqu ok,"['cht', 'liuqu', 'ok']",10
Cũng hơi ổn,cng hi n,"['cng', 'hi', 'n']",10
Rất đẹp,rt p,"['rt', 'p']",10
mua 0đ nên tạm,mua  nn tm,"['mua', 'nn', 'tm']",10
như sít,nh st,"['nh', 'st']",10
K ra j,k ra j,"['k', 'ra', 'j']",10
Chất liệu:0,cht liu,"['cht', 'liu']",10
Của nợ,ca n,"['ca', 'n']",10
Quà tặng kèm,qu tng km,"['qu', 'tng', 'km']",10
Sài k dc,si k dc,"['si', 'k', 'dc']",10
Hơi khó dùng,hi kh dng,"['hi', 'kh', 'dng']",10
Chuẩn quá tr,chun qu tr,"['chun', 'qu', 'tr']",10
oke nhé,oke nh,"['oke', 'nh']",10
Chất liệu:oke,cht liuoke,"['cht', 'liuoke']",10
oki phết,oki pht,"['oki', 'pht']",10
Quá là tệ,qu l t,"['qu', 'l', 't']",10
"Màu sắc:hồng

Tốt ⭐","mu schng

tt ","['mu', 'schng', 'tt']",10
Bé rất thích,b rt thch,"['b', 'rt', 'thch']",10
Tôi rất thik,ti rt thik,"['ti', 'rt', 'thik']",10
rất tệ,rt t,"['rt', 't']",10
Giống trong hình,ging trong hnh,"['ging', 'trong', 'hnh']",10
Màu sắc:oki oki,mu scoki oki,"['mu', 'scoki', 'oki']",10
Ko hài lòng,ko hi lng,"['ko', 'hi', 'lng']",10
Màu sắc:đen,mu scen,"['mu', 'scen']",10
Như căjc,nh cjc,"['nh', 'cjc']",10
không đúng hàng,khng ng hng,"['khng', 'ng', 'hng']",10
Tạm dc,tm dc,"['tm', 'dc']",10
"Chất liệu:nhựa

Ok","cht liunha

ok","['cht', 'liunha', 'ok']",10
Hàng rất ok,hng rt ok,"['hng', 'rt', 'ok']",10
Hàng đảm bảo,hng m bo,"['hng', 'm', 'bo']",10
lừa đảo,la o,"['la', 'o']",10
Như cc,nh cc,"['nh', 'cc']",10
Phí tiền.,ph tin,"['ph', 'tin']",10
Sp tạm ổn,sp tm n,"['sp', 'tm', 'n']",10
Hàng ok,hng ok,"['hng', 'ok']",10
Rất OK,rt ok,"['rt', 'ok']",10
Đẹp nha mn,p nha mn,"['p', 'nha', 'mn']",10
Màu sắc:trắng,mu sctrng,"['mu', 'sctrng']",10
Hàng  Tao  lai,hng  tao  lai,"['hng', 'tao', 'lai']",10
Quá lởm,qu lm,"['qu', 'lm']",10
Sản phẩm oke,sn phm oke,"['sn', 'phm', 'oke']",10
"Màu sắc:đen

Đẹp","mu scen

p","['mu', 'scen', 'p']",10
Hàng tào lao,hng to lao,"['hng', 'to', 'lao']",10
Chất liệu:bình thường,cht liubnh thng,"['cht', 'liubnh', 'thng']",10
Shop lừa đảo,shop la o,"['shop', 'la', 'o']",10
đồng hồ đẹp,ng h p,"['ng', 'h', 'p']",10
Hàng tao lao,hng tao lao,"['hng', 'tao', 'lao']",10
Dây cứng ngoắc,dy cng ngoc,"['dy', 'cng', 'ngoc']",10
K dùng đc,k dng c,"['k', 'dng', 'c']",10
Chất liệu:nhực,cht liunhc,"['cht', 'liunhc']",10
hàng rất tốt,hng rt tt,"['hng', 'rt', 'tt']",10
Shipper thân thiện,shipper thn thin,"['shipper', 'thn', 'thin']",10
Giao hàng nhanh,giao hng nhanh,"['giao', 'hng', 'nhanh']",10
"Đẹp, gọn, nhẹ",p gn nh,"['p', 'gn', 'nh']",10
Màu sắc:tot,mu sctot,"['mu', 'sctot']",10
Chất liệu:tốt,cht liutt,"['cht', 'liutt']",10
Màu sắc:đẹp,mu scp,"['mu', 'scp']",10
Hàng đẹp quá,hng p qu,"['hng', 'p', 'qu']",10
Rất đẹp,rt p,"['rt', 'p']",10
Cảm ơn shop,cm n shop,"['cm', 'n', 'shop']",10
Cũng được,cng c,"['cng', 'c']",10
OK nha shop,ok nha shop,"['ok', 'nha', 'shop']",10
Good and nice,good and nice,"['good', 'and', 'nice']",10
Quá OK,qu ok,"['qu', 'ok']",10
Ko mang vừa,ko mang va,"['ko', 'mang', 'va']",10
Bình thường,bnh thng,"['bnh', 'thng']",10
Như hàng mã😂😂😂,nh hng m,"['nh', 'hng', 'm']",10
Hàng như cúc,hng nh cc,"['hng', 'nh', 'cc']",10
Đồng hồ nhựa,ng h nha,"['ng', 'h', 'nha']",10
Ođ hihi,o hihi,"['o', 'hihi']",10
Đúng mô tả,ng m t,"['ng', 'm', 't']",10
Tiền nào của đó,tin no ca,"['tin', 'no', 'ca']",10
Tuyettt voiuu,tuyettt voiuu,"['tuyettt', 'voiuu']",10
Sài tam,si tam,"['si', 'tam']",10
Hàng đúng ảnh,hng ng nh,"['hng', 'ng', 'nh']",10
Chất liệu:ok,cht liuok,"['cht', 'liuok']",10
Nhẹ quá,nh qu,"['nh', 'qu']",10
Cũng ok,cng ok,"['cng', 'ok']",10
Đẹp chất lượng,p cht lng,"['p', 'cht', 'lng']",10
Trung bình,trung bnh,"['trung', 'bnh']",10
Hàng  ok,hng  ok,"['hng', 'ok']",10
Không giống mẫu,khng ging mu,"['khng', 'ging', 'mu']",10
Dây đeo mỏng,dy eo mng,"['dy', 'eo', 'mng']",10
Như đồ trẻ con,nh  tr con,"['nh', 'tr', 'con']",10
OK bạn,ok bn,"['ok', 'bn']",10
"Chất liệu:ok

Ok","cht liuok

ok","['cht', 'liuok', 'ok']",10
Quá tệ,qu t,"['qu', 't']",10
Tuyệt vời,tuyt vi,"['tuyt', 'vi']",10
tuyet voi,tuyet voi,"['tuyet', 'voi']",10
Quá ok,qu ok,"['qu', 'ok']",10
Jsosibqbaije có ndoeoeld,jsosibqbaije c ndoeoeld,"['jsosibqbaije', 'c', 'ndoeoeld']",10
hơi cùi bắp,hi ci bp,"['hi', 'ci', 'bp']",10
Chán vãi,chn vi,"['chn', 'vi']",10
chất liệu nhựa,cht liu nha,"['cht', 'liu', 'nha']",10
Sp ok nha.,sp ok nha,"['sp', 'ok', 'nha']",10
Hàng rất đẹp,hng rt p,"['hng', 'rt', 'p']",10
K tốt,k tt,"['k', 'tt']",10
Như cứ*,nh c,"['nh', 'c']",10
Hàng chuẩn ạ,hng chun,"['hng', 'chun']",10
Màu sắc:không phải,mu sckhng phi,"['mu', 'sckhng', 'phi']",10
Ko Sài đc,ko si c,"['ko', 'si', 'c']",10
Rất ok,rt ok,"['rt', 'ok']",10
SP quá tệ,sp qu t,"['sp', 'qu', 't']",10
Màu sắc:ok,mu scok,"['mu', 'scok']",10
Hàng OK lắm,hng ok lm,"['hng', 'ok', 'lm']",10
Màu sắc:đc,mu scc,"['mu', 'scc']",10
Khá ok,kh ok,"['kh', 'ok']",10
Rất tốt,rt tt,"['rt', 'tt']",10
Hàng fake,hng fake,"['hng', 'fake']",10
Cũng tạm được,cng tm c,"['cng', 'tm', 'c']",10
Rất tuyệt vời,rt tuyt vi,"['rt', 'tuyt', 'vi']",10
Màu sắc:hhhhhhhhhbhh,mu schhhhhhhhhbhh,"['mu', 'schhhhhhhhhbhh']",10
Hàng đúng mẫu,hng ng mu,"['hng', 'ng', 'mu']",10
Như đồ chơi 😮‍💨,nh  chi,"['nh', 'chi']",10
Thời trang,thi trang,"['thi', 'trang']",10
Rất rẻ,rt r,"['rt', 'r']",10
San pham tot,san pham tot,"['san', 'pham', 'tot']",10
Tệ.lừa đảo,tla o,"['tla', 'o']",10
k đúng hàng,k ng hng,"['k', 'ng', 'hng']",10
Hơi tệ,hi t,"['hi', 't']",10
Cũng tạm ổn,cng tm n,"['cng', 'tm', 'n']",10
Hài lòng,hi lng,"['hi', 'lng']",10
Khong Chay duoc,khong chay duoc,"['khong', 'chay', 'duoc']",10
Cũng khá tốt,cng kh tt,"['cng', 'kh', 'tt']",10
Đúng tầm giá,ng tm gi,"['ng', 'tm', 'gi']",10
Xấu dã man,xu d man,"['xu', 'd', 'man']",10
Sản pham ok,sn pham ok,"['sn', 'pham', 'ok']",10
Tuyet voi,tuyet voi,"['tuyet', 'voi']",10
0k hàng đẹp,k hng p,"['k', 'hng', 'p']",10
Tạm được.,tm c,"['tm', 'c']",10
Nhanh gọn nhẹ,nhanh gn nh,"['nhanh', 'gn', 'nh']",10
đồ l0l tâuuuu,ll tuuuu,"['ll', 'tuuuu']",10
nên mua,nn mua,"['nn', 'mua']",10
Quá đẹp,qu p,"['qu', 'p']",10
Máy dùng tốt,my dng tt,"['my', 'dng', 'tt']",10
Hàng k đúng,hng k ng,"['hng', 'k', 'ng']",10
Tuyệt vời,tuyt vi,"['tuyt', 'vi']",10
Tốt đẹp,tt p,"['tt', 'p']",10
Lừa đảo,la o,"['la', 'o']",10
Lừa đảo,la o,"['la', 'o']",10
Shop ok,shop ok,"['shop', 'ok']",10
Vào mạng chạm,vo mng chm,"['vo', 'mng', 'chm']",10
Lỗi nhận sim,li nhn sim,"['li', 'nhn', 'sim']",10
Giao hàng nhanh,giao hng nhanh,"['giao', 'hng', 'nhanh']",10
Shop uy tín,shop uy tn,"['shop', 'uy', 'tn']",10
Shook uy tín,shook uy tn,"['shook', 'uy', 'tn']",10
Shop uy tín,shop uy tn,"['shop', 'uy', 'tn']",10
Chất lượg tốt,cht lg tt,"['cht', 'lg', 'tt']",10
Quá đẹp,qu p,"['qu', 'p']",10
Hàng đẹp,hng p,"['hng', 'p']",10
Sản phẩm tốt,sn phm tt,"['sn', 'phm', 'tt']",10
Tốt nhé 👍👍👍,tt nh,"['tt', 'nh']",10
Sản phẩm tốt,sn phm tt,"['sn', 'phm', 'tt']",10
Sp tot,sp tot,"['sp', 'tot']",10
Hàng mới.ok,hng miok,"['hng', 'miok']",10
Sản phẩm tốt,sn phm tt,"['sn', 'phm', 'tt']",10
Quá ok,qu ok,"['qu', 'ok']",10
Shop ok,shop ok,"['shop', 'ok']",10
OK tốt,ok tt,"['ok', 'tt']",10
Sp tốt,sp tt,"['sp', 'tt']",10
máy đẹp,my p,"['my', 'p']",10
Vận chuyển nhanh,vn chuyn nhanh,"['vn', 'chuyn', 'nhanh']",10
Hình ảnh đẹp,hnh nh p,"['hnh', 'nh', 'p']",10
Nhận hàng oki,nhn hng oki,"['nhn', 'hng', 'oki']",10
Hàng tốt,hng tt,"['hng', 'tt']",10
Tốt lên mua,tt ln mua,"['tt', 'ln', 'mua']",10
Tuyệt vời,tuyt vi,"['tuyt', 'vi']",10
Tuyệt vời,tuyt vi,"['tuyt', 'vi']",10
Sp tốt,sp tt,"['sp', 'tt']",10
Sản phẩm OK,sn phm ok,"['sn', 'phm', 'ok']",10
Sp uy tín,sp uy tn,"['sp', 'uy', 'tn']",10
vjp pro,vjp pro,"['vjp', 'pro']",10
Sản phẩm tốt,sn phm tt,"['sn', 'phm', 'tt']",10
Shop lừa đảo,shop la o,"['shop', 'la', 'o']",10
Uy tín,uy tn,"['uy', 'tn']",10
Quá đc luôn,qu c lun,"['qu', 'c', 'lun']",10
Ok la,ok la,"['ok', 'la']",10
quá tốt rồi,qu tt ri,"['qu', 'tt', 'ri']",10
Ngon rẻ,ngon r,"['ngon', 'r']",35
"Đúng với mô tả:đẹp
Màu sắc:đẹp
Chất liệu:đẹp

Không bt chỉnh giờ shop ơi cứu với, mô hình à","ng vi m tp
mu scp
cht liup

khng bt chnh gi shop i cu vi m hnh ","['ng', 'vi', 'm', 'tp', 'mu', 'scp', 'cht', 'liup', 'khng', 'bt', 'chnh', 'gi', 'shop', 'i', 'cu', 'vi', 'm', 'hnh']",50
"Đúng với mô tả:đúng
Màu sắc:chuẩn
Chất liệu:tốt

Mỗi tội chưa biết chỉnh giờ","ng vi m tng
mu scchun
cht liutt

mi ti cha bit chnh gi","['ng', 'vi', 'm', 'tng', 'mu', 'scchun', 'cht', 'liutt', 'mi', 'ti', 'cha', 'bit', 'chnh', 'gi']",50
"Màu sắc:trắng
Đúng với mô tả:chuẩn
Chất liệu:kim loại

Hang xin xo do.shop nhiet tình.giao hàng nhanh.hình ảnh chỉ mang tính chat nhận xu thôi nha mn.ae cứ yên tâm đat hàng đu ne","mu sctrng
ng vi m tchun
cht liukim loi

hang xin xo doshop nhiet tnhgiao hng nhanhhnh nh ch mang tnh chat nhn xu thi nha mnae c yn tm at hng u ne","['mu', 'sctrng', 'ng', 'vi', 'm', 'tchun', 'cht', 'liukim', 'loi', 'hang', 'xin', 'xo', 'doshop', 'nhiet', 'tnhgiao', 'hng', 'nhanhhnh', 'nh', 'ch', 'mang', 'tnh', 'chat', 'nhn', 'xu', 'thi', 'nha', 'mnae', 'c', 'yn', 'tm', 'at', 'hng', 'u', 'ne']",50
"Màu sắc:đúng
Chất liệu:đúng
Đúng với mô tả:đúng

Mang tính chất nhân xu chứ nhấp nháy suốt có dùng đc qué đâu cho 5 sao nhận xu cho vui.chứ rẻ thì cũng ko hi vọng là dùng đc","mu scng
cht liung
ng vi m tng

mang tnh cht nhn xu ch nhp nhy sut c dng c qu u cho  sao nhn xu cho vuich r th cng ko hi vng l dng c","['mu', 'scng', 'cht', 'liung', 'ng', 'vi', 'm', 'tng', 'mang', 'tnh', 'cht', 'nhn', 'xu', 'ch', 'nhp', 'nhy', 'sut', 'c', 'dng', 'c', 'qu', 'u', 'cho', 'sao', 'nhn', 'xu', 'cho', 'vuich', 'r', 'th', 'cng', 'ko', 'hi', 'vng', 'l', 'dng', 'c']",50
"Đúng với mô tả:đúng
Chất liệu:ok
Màu sắc:ok

Manh tinh chat nhan xu . noi chung cung ok với  gia đó. Nen mua cho tre e đi hoc","ng vi m tng
cht liuok
mu scok

manh tinh chat nhan xu  noi chung cung ok vi  gia  nen mua cho tre e i hoc","['ng', 'vi', 'm', 'tng', 'cht', 'liuok', 'mu', 'scok', 'manh', 'tinh', 'chat', 'nhan', 'xu', 'noi', 'chung', 'cung', 'ok', 'vi', 'gia', 'nen', 'mua', 'cho', 'tre', 'e', 'i', 'hoc']",50
Đã nhận được hàng đúng theo như mô tả có hoạt động nhưng không có chỗ nào cắm giắc sạc hoặc chỗ để cậy ra thay pin chắc dùng mấy hôm hết pin là vứt đúng là tiên nào của ấy!,nhn c hng ng theo nh m t c hot ng nhng khng c ch no cm gic sc hoc ch  cy ra thay pin chc dng my hm ht pin l vt ng l tin no ca y,"['nhn', 'c', 'hng', 'ng', 'theo', 'nh', 'm', 't', 'c', 'hot', 'ng', 'nhng', 'khng', 'c', 'ch', 'no', 'cm', 'gic', 'sc', 'hoc', 'ch', 'cy', 'ra', 'thay', 'pin', 'chc', 'dng', 'my', 'hm', 'ht', 'pin', 'l', 'vt', 'ng', 'l', 'tin', 'no', 'ca', 'y']",50
"Chất liệu:idk
Màu sắc:bạc
Đúng với mô tả:đúng vậy á y chang:3

Giao hàng nhanh lắm tối qua vừa đặt xong hôm nay có rồi nè,thích nhe lần sau ủng hộ tiếp >:)","cht liuidk
mu scbc
ng vi m tng vy  y chang

giao hng nhanh lm ti qua va t xong hm nay c ri nthch nhe ln sau ng h tip ","['cht', 'liuidk', 'mu', 'scbc', 'ng', 'vi', 'm', 'tng', 'vy', 'y', 'chang', 'giao', 'hng', 'nhanh', 'lm', 'ti', 'qua', 'va', 't', 'xong', 'hm', 'nay', 'c', 'ri', 'nthch', 'nhe', 'ln', 'sau', 'ng', 'h', 'tip']",50
"Đúng với mô tả:đúng
Màu sắc:bạc

Nhẫn to chắc không móp méo","ng vi m tng
mu scbc

nhn to chc khng mp mo","['ng', 'vi', 'm', 'tng', 'mu', 'scbc', 'nhn', 'to', 'chc', 'khng', 'mp', 'mo']",50
"Hàng giao nhanh ,đúng mẫu mã , đẹp , gói cận thận , vừa túi tiền , rất thích.",hng giao nhanh ng mu m  p  gi cn thn  va ti tin  rt thch,"['hng', 'giao', 'nhanh', 'ng', 'mu', 'm', 'p', 'gi', 'cn', 'thn', 'va', 'ti', 'tin', 'rt', 'thch']",50
"I so much love this watch, not so heavy and it’s so beautiful.",i so much love this watch not so heavy and its so beautiful,"['i', 'so', 'much', 'love', 'this', 'watch', 'not', 'so', 'heavy', 'and', 'its', 'so', 'beautiful']",50
"Chất liệu:chất liệu cao su
Màu sắc:ok

Đen màn hình yếu quá không sáng thấy rỏ số","cht liucht liu cao su
mu scok

en mn hnh yu qu khng sng thy r s","['cht', 'liucht', 'liu', 'cao', 'su', 'mu', 'scok', 'en', 'mn', 'hnh', 'yu', 'qu', 'khng', 'sng', 'thy', 'r', 's']",50
"Đúng với mô tả:đẹp lắm nhaa
Màu sắc:bạc
Chất liệu:lốc

Rẻ kinh 2 nhẫn mà 2 nghìn 😚😚😚 tặng bạn bè hay crush cx okkkk","ng vi m tp lm nhaa
mu scbc
cht liulc

r kinh  nhn m  nghn  tng bn b hay crush cx okkkk","['ng', 'vi', 'm', 'tp', 'lm', 'nhaa', 'mu', 'scbc', 'cht', 'liulc', 'r', 'kinh', 'nhn', 'm', 'nghn', 'tng', 'bn', 'b', 'hay', 'crush', 'cx', 'okkkk']",50
"Màu sắc:ok
Chất liệu:ok
Đúng với mô tả:ok

[KM] Chào mừng kỷ niệm 31 năm thành lập MobiFone, MobiFone tặng khuyến mại nội mạng cho khách hàng phát sinh cước quốc tế đi TOP30 quốc gia với mức tối thiểu 50.001 đồng. Giá trị khuyến mại lên tới 20% cước thoại quốc tế phát sinh. Chương trình diễn ra từ 10/04/2024 – 09/05/2024. Chương trình chỉ áp dụng cho thuê bao nhận được tin nhắn. Xin cảm ơn.","mu scok
cht liuok
ng vi m tok

km cho mng k nim  nm thnh lp mobifone mobifone tng khuyn mi ni mng cho khch hng pht sinh cc quc t i top quc gia vi mc ti thiu  ng gi tr khuyn mi ln ti  cc thoi quc t pht sinh chng trnh din ra t    chng trnh ch p dng cho thu bao nhn c tin nhn xin cm n","['mu', 'scok', 'cht', 'liuok', 'ng', 'vi', 'm', 'tok', 'km', 'cho', 'mng', 'k', 'nim', 'nm', 'thnh', 'lp', 'mobifone', 'mobifone', 'tng', 'khuyn', 'mi', 'ni', 'mng', 'cho', 'khch', 'hng', 'pht', 'sinh', 'cc', 'quc', 't', 'i', 'top', 'quc', 'gia', 'vi', 'mc', 'ti', 'thiu', 'ng', 'gi', 'tr', 'khuyn', 'mi', 'ln', 'ti', 'cc', 'thoi', 'quc', 't', 'pht', 'sinh', 'chng', 'trnh', 'din', 'ra', 't', 'chng', 'trnh', 'ch', 'p', 'dng', 'cho', 'thu', 'bao', 'nhn', 'c', 'tin', 'nhn', 'xin', 'cm', 'n']",50
Nên mua nhé mọi người giá quá rẻ mà lại tốt thì không có gì mà lại không mua nhỉ đúng không cả nhà mình bình luận chưa hay mong mọi người bỏ quá cho,nn mua nh mi ngi gi qu r m li tt th khng c g m li khng mua nh ng khng c nh mnh bnh lun cha hay mong mi ngi b qu cho,"['nn', 'mua', 'nh', 'mi', 'ngi', 'gi', 'qu', 'r', 'm', 'li', 'tt', 'th', 'khng', 'c', 'g', 'm', 'li', 'khng', 'mua', 'nh', 'ng', 'khng', 'c', 'nh', 'mnh', 'bnh', 'lun', 'cha', 'hay', 'mong', 'mi', 'ngi', 'b', 'qu', 'cho']",50
"Màu sắc:đẹp

Nhưng 1 điểm chê là dây đeo lỏng không chắc hay bị tuột rơi nhiều","mu scp

nhng  im ch l dy eo lng khng chc hay b tut ri nhiu","['mu', 'scp', 'nhng', 'im', 'ch', 'l', 'dy', 'eo', 'lng', 'khng', 'chc', 'hay', 'b', 'tut', 'ri', 'nhiu']",50
